source,headline,date,conflict,responsibility
NYT,Israeli Strike Kills Dozens at Former School Where Civilians Were Sheltering,"June 06, 2024",Israel - Gaza,Direct
NYT,‘They Are Burned Alive’: A Doctor Captures the Toll of War on Gaza’s Children,"August 10, 2024",Israel - Gaza,No
NYT,"Mother and 6 Children Are Killed in Israeli Strike in Gaza, Family Says","August 19,2024",Israel - Gaza,Direct
NYT,Deadly Israeli Strike Hits Central Gaza Hospital Complex,,Israel - Gaza,Direct
NYT,At Least 30 Are Reported Killed in Khan Younis in 24 Hours,"July 24, 2024",Israel - Gaza,No
NYT,"Middle East Crisis As Hungry Gazans Crowd a Convoy, a Crush of Bodies, Israeli Gunshots and a Deadly Toll","March 04, 2024",Israel - Gaza,Indirect
NYT,Gazans Weep and Pray Over Loved Ones Killed in Attack on Former School,"June 06, 2024",Israel - Gaza,No
NYT,"Death Toll in Gaza Passes 30,000","Febuary 29, 2024",Israel - Gaza,No
NYT,Middle East Crisis Israel Strikes Area Packed With Displaced Civilians,"September 10, 2024",Israel - Gaza,Direct
NYT,Tent Camp in Gaza Engulfed by Flames After Israeli Strike,,Israel - Gaza,Direct
NYT,‘No More Safe Places in Gaza’: Evacuees Face Airstrikes in North and South,"Oct 17, 2023",Israel - Gaza,No
NYT,The Gaza hospital where hundreds were reported killed is a mainstay for Palestinians.,"Oct 17, 2023",Israel - Gaza,No
NYT,Hundreds Killed in Explosion at Gaza Hospital,"Oct 17, 2023",Israel - Gaza,No
NYT,Air Strike Hits Inside Gaza Church Compound,"Oct 20, 2023",Israel - Gaza,No
NYT,Israeli Airstrike Hits Greek Orthodox Church Compound in Gaza City,"Oct 20, 2023",Israel - Gaza,Direct
NYT,Explosion Gazans Say Was Airstrike Leaves Many Casualties in Dense Neighborhood,"November 05, 2023",Israel - Gaza,No
NYT,Missile Strikes on Ukraine Kill at Least 21 Near Odesa,"June 30,2022",Russia - Ukraine,No
NYT,Missile and Drone Attacks Across Ukraine Kill at Least 7 in Lviv,"September 04, 2024",Russia - Ukraine,No
NYT,Russian Strike in Eastern Ukraine Kills 6 Civilians,"April 02, 2023",Russia - Ukraine,Direct
NYT,Russian Airstrike Kills Dozens at Ukrainian Marine Base,"March 20, 2022",Russia - Ukraine,Direct
NYT,Russian Strikes Kill Several in Eastern Ukraine,"August 07, 2023",Russia - Ukraine,Direct
NYT,"Russian Attacks Kill 11 Civilians Near Eastern Front, Ukraine Says","January 06, 2024",Russia - Ukraine,Direct
NYT,Russian Rocket Strike Kills At Least 3 in Northern Ukraine,"July 17, 2022",Russia - Ukraine,Direct
NYT,"Russian Missile Strikes Kill at Least 20 in Odesa, Ukraine Says","March 15, 2024",Russia - Ukraine,Direct
NYT,"Missile Strike Kills Six Workers at Postal Depot, Ukraine Says","October 22, 2023",Russia - Ukraine,No
NYT,Reuters Safety Adviser Killed and 2 Journalists Injured in Strike on Ukraine Hotel,"August 24, 2024",Russia - Ukraine,No
NYT,Russia Releases New Videos of Admiral Ukraine Claimed to Have Killed,"September 27, 2023",Russia - Ukraine,Indirect
NYT,Russia Fires Missile Barrage at Ukrainian Cities and Military Targets,"April 16, 2022",Russia - Ukraine,Direct
NYT,U.S. says Russia has a list of Ukrainians to kill or detain after an invasion.,"Feb 21, 2022",Russia - Ukraine,Direct
NYT,"43,000 Ukrainian Soldiers Killed Since Russia Invaded, Zelensky Says","December 08, 2024",Russia - Ukraine,Direct
NYT,Russia Intensifies Assaults on an Exhausted Ukraine,"November 18, 2024",Russia - Ukraine,Direct
NYT,Russia Launches Missiles Against Ukraine’s Capital,"November 13, 2024",Russia - Ukraine,Direct
NYT,"In Ukraine’s South, Fierce Fighting and Deadly Costs","September 24, 2022",Russia - Ukraine,No
NYT,Russia Pounds Ukraine With ‘One of the Largest Strikes’ of the War,"August 26, 2024",Russia - Ukraine,Direct
NYT,Russian Missiles Hit Ukrainian Cities Amid Fears Over Air Defenses,"January 23, 2024",Russia - Ukraine,Direct
NYT,Russia Launches Deadly New Wave of Missiles and Drones at Ukraine,"August 27, 2024",Russia - Ukraine,Direct
NYT,Russian Missiles Hit Ukrainian Cities Amid Fears Over Air Defenses,"January 23, 2024",Russia - Ukraine,Direct
NYT,"Russian Missile Attack North of Kyiv Kills at Least 17, Ukraine Says","April 17, 2024",Russia - Ukraine,Direct
NYT,Hundreds of Ukrainian Troops Feared Captured or Missing in Chaotic Retreat,"Feb 20, 2024",Russia - Ukraine,No
NYT,"Caught on Camera, Traced by Phone: The Russian Military Unit That Killed Dozens in Bucha ","December 23, 2022",Russia - Ukraine,Direct
NYT,Russia Pounds Several Ukrainian Regions With Missiles,"January 08, 2024",Russia - Ukraine,Direct
NYT,"Ukrainian Journalist Has Died in Russian Captivity, Ukraine Says","October 15, 2024",Russia - Ukraine,Direct
NYT,"Ukraine Says Russia Hit Nursing Home Near Border, Killing at Least 1",,Russia - Ukraine,Direct
NYT,Russia Carried Out One of the Deadliest Strikes of the War,"September 03, 2024",Russia - Ukraine,Direct
NYT,"Russian Missile Strikes Kill at Least 20 in Odesa, Ukraine Says","March 15, 2024",Russia - Ukraine,Direct
NYT,Hundreds of Ukrainian Troops Feared Captured or Missing in Chaotic Retreat,"Feb 20, 2024",Russia - Ukraine,No
NYT,"Russia Bombards Power Grid in One of War’s Largest Attacks, Ukraine Says","Nov 17, 2024",Russia - Ukraine,Direct
NYT,Russian Attack Leaves Over a Million in Ukraine Without Electricity,"March 26, 2024",Russia - Ukraine,Direct
NYT,Russia Strikes Ukraine’s Railways and Vows to Slow Arrival of U.S. Aid,"April 26, 2024",Russia - Ukraine,Direct
NYT,Russia Strikes Children’s Hospital in Deadly Barrage Across Ukraine,"July 08, 2024",Russia - Ukraine,Direct
NYT,Russian Attacks Crush Factories and Way of Life in Ukrainian Villages,"April 21, 2024",Russia - Ukraine,Direct
The Guardian,"Death feels imminent for 96% of children in Gaza, study finds","Dec 12, 2024",Israel - Gaza,No
The Guardian,Israeli attacks kill dozens of Palestinians hours after UN demands ceasefire in Gaza,"December 11, 2024",Israel - Gaza,Direct
The Guardian,Nine days of horror as Israeli offensive on exhausted northern Gaza intensifies,,Israel - Gaza,Direct
The Guardian,"Gaza rubble likely to conceal untold horrors to swell 40,000 death toll","August 15, 2024",Israel - Gaza,No
The Guardian,"UN chief decries ‘unacceptable’ scale of Gaza deaths as 25,000 reported killed","January 21, 2024",Israel - Gaza,No
The Guardian,"Gaza death toll set to pass 30,000, as Israel prepares assault on Rafah","Feb 25, 2024",Israel - Gaza,Direct
The Guardian,"Scientists are closing in on the true, horrifying scale of death and disease in Gaza","Sept 05, 2024",Israel - Gaza,No
The Guardian,"At least 22 Palestinians killed in shelling near Gaza office of Red Cross, agency says","June 21, 2024",Israel - Gaza,No
The Guardian,‘Not a normal war’: doctors say children have been targeted by Israeli snipers in Gaza,"April 02, 2024",Israel - Gaza,Indirect
The Guardian,Israeli forces withdraw from Gaza’s al-Shifa hospital after two-week raid leaving facility in ruins,"April 01, 2024",Israel - Gaza,Direct
The Guardian,"Why researchers fear the Gaza death toll could reach 186,000","July 12, 2024",Israel - Gaza,No
The Guardian,Seven people killed in Israeli airstrike on Gaza City school shelter,"Sept 22, 2024",Israel - Gaza,Direct
The Guardian,"Gaza death toll passes 22,000 as Israel steps up war against Hamas","January 02, 2024",Israel - Gaza,Indirect
The Guardian,The numbers that reveal the extent of the destruction in Gaza,"January 08, 2024",Israel - Gaza,No
The Guardian,Eighteen members of same family killed in Israeli strike on Gaza,"August 19, 2024",Israel - Gaza,Indirect
The Guardian,"Gaza publishes identities of 34,344 Palestinians killed in war with Israel","September 17, 2024",Israel - Gaza,Direct
The Guardian,"Scores killed in Israeli attacks, medics say, after IDF orders evacuation of Gaza humanitarian zone","July 22, 2024",Israel - Gaza,Direct
The Guardian,Dozens killed in Israeli airstrikes on Gaza City,"June 22, 2024",Israel - Gaza,Direct
The Guardian,‘Death is everywhere’: fears grow that Israel plans to seize land in Gaza,"November 02, 2023",Israel - Gaza,Indirect
The Guardian,"Nearly 3,000 Palestinians killed in first days of Gaza war named by conflict monitor","July 29, 2024",Israel - Gaza,No
The Guardian,Sha’ban al-Dalou burned alive before the world. May his death awaken us,"Oct 17, 2024",Israel - Gaza,No
The Guardian,"At least 16 killed in Israeli airstrikes on Gaza, Palestinian officials say","Sept 16, 2024",Israel - Gaza,Direct
The Guardian,"‘I’m so scared, please come’: Hind Rajab, five, found dead in Gaza 12 days after cry for help","Feb 10, 2024",Israel - Gaza,No
The Guardian,Palestinian baby rescued from dead mother’s womb dies in Gaza hospital,"April 26, 2024",Israel - Gaza,No
The Guardian,Children die of malnutrition as Rafah operation heightens threat of famine in Gaza,"June 02, 2024",Israel - Gaza,No
The Guardian,"Starvation already causing many deaths and lasting harm in Gaza, agencies say","June 05, 2024",Israel - Gaza,No
The Guardian,"More than 100 people killed in latest Israeli bombings in Gaza, say medics","Oct 20, 2024",Israel - Gaza,Direct
The Guardian,Russian shelling kills three in Kherson region as road crash in west leaves 14 dead,"July 08, 2024",Russia - Ukraine,Direct
The Guardian,"Three killed in second day of Russian attacks on Zaporizhzhia region, says governor","April 08, 2024",Russia - Ukraine,Direct
The Guardian,Leaders condemn Russian missile attacks that killed 36 across Ukraine,"July 08, 2024",Russia - Ukraine,Direct
The Guardian,A ninth woman has died reporting on the Ukraine conflict. Russia’s war on journalists must end,"November 01, 2024",Russia - Ukraine,Indirect
The Guardian,British man on Reuters staff killed in strike on hotel in east Ukraine,"August 25, 2024",Russia - Ukraine,No
The Guardian,"Russian drone kills civilian women in car, say Kherson officials","October 15, 2024",Russia - Ukraine,Direct
The Guardian,Nato warns that Putin wants to ‘wipe Ukraine off the map’,"December 13, 2024",Russia - Ukraine,Direct
The Guardian,Russia launches huge missile attack on Ukraine’s energy infrastructure,"December 13, 2024",Russia - Ukraine,Direct
The Guardian,"Ukraine war briefing: North Korean troops join Russian assaults in ‘significant’ numbers, Kyiv says","December 16, 2024",Russia - Ukraine,Direct
The Guardian,"Russian drone kills civilian women in car, say Kherson officials","Oct 15, 2024",Russia - Ukraine,Direct
The Guardian,Hypersonic missile targets major Ukrainian airbase,"Oct 08, 2024",Russia - Ukraine,No
The Guardian,Russian strike hits Kharkiv apartment block; Ukrainian troops quit Vuhledar,"Oct 03, 2024",Russia - Ukraine,Direct
The Guardian,16 injured in Russian attacks on city of Zaporizhzhia ,"Sept 30, 2024",Russia - Ukraine,Direct
The Guardian,"Russian attacks on hospital in Ukraine’s Sumy kill 10, Kyiv says","Sept 29, 2024",Russia - Ukraine,Direct
The Guardian,"People trapped after Russian strike on Kharkiv apartment block, Zelenskiy says","Sept 16, 2024",Russia - Ukraine,Indirect
The Guardian,Russia accused of unprecedented missile attack on grain ship in Black Sea,"Sept 13, 2024",Russia - Ukraine,Indirect
The Guardian,Five killed in Russian shelling of Ukraine’s Donetsk region,"Sept 8, 2024",Russia - Ukraine,Direct
The Guardian,Father is only survivor after family killed in Russian strike on Lviv,"Sept 5, 2024",Russia - Ukraine,Direct
The Guardian,Russian bomb attack on Kharkiv kills seven including child in playground,"August 31, 2024",Russia - Ukraine,Direct
The Guardian,Despair as Russian missiles and drones rain down unanswered,"August 27, 2024",Russia - Ukraine,Direct
The Guardian,Huge Russian air attack disrupts power and water supplies in Kyiv,"August 26, 2024",Russia - Ukraine,Direct
The Guardian,"Russian missile hits Kostiantynivka shopping centre, killing at least 14""","August 09, 2024",Russia - Ukraine,Direct
The Guardian,Kyiv under heavy attack from Russian drones,"July 31, 2024",Russia - Ukraine,Direct
The Guardian,Russia launches ‘double tap’ missile attack on a small town near Kharkiv,"July 14, 2024",Russia - Ukraine,Direct
The Guardian,‘Massive shelling’ of Kherson as Russia targets cities across Ukraine,"July 13, 2024",Russia - Ukraine,Direct
Reuters,Israeli airstrikes kill families in two Gaza homes; tanks bear down on Mawasi,"Dec 17, 2024",Israel - Gaza,Direct
Reuters,"Israeli forces kill at least 34 people in Gaza, rescue workers say","Dec 11, 2024",Israel - Gaza,Indirect
Reuters,"Unknown fate of Palestinian girl, ambulance team highlights Gaza rescue challenges","Feb 01, 2024",Israel - Gaza,No
Reuters,"Battles rage as Palestinians say Gaza toll passes 25,000","Jan 22, 2024",Israel - Gaza,No
Reuters,"Israel pounds central Gaza, thousands of Palestinians try to escape","Dec 27, 2023",Israel - Gaza,Direct
Reuters,Gaza health authorities say Israeli fire kills 104 waiting for aid,"Feb 29, 2024",Israel - Gaza,Indirect
Reuters,"Gaza death toll climbs 28,064 Palestinians killed, 67,611 injured since Oct. 7, health ministry says","Feb 10, 2024",Israel - Gaza,No
Reuters,"21,978 Palestinians killed in Israeli strikes on Gaza since Oct. 7 - Gaza health ministry","Jan 01, 2024",Israel - Gaza,Indirect
Reuters,"Israeli tanks push deep into central Gaza town, air strike kills 20 in south","Dec 28, 2023",Israel - Gaza,No
Reuters,"More than 100 killed while seeking aid in Gaza, overall death toll passes 30,000","Feb 29, 2024",Israel - Gaza,No
Reuters,"Gaza death toll rises to 29,313, Rafah residents killed in strike","Feb 01, 2024",Israel - Gaza,No
Reuters,"Israeli troops exit Gaza's Shifa Hospital, leaving rubble and bodies","April 01, 2024",Israel - Gaza,Indirect
Reuters,"Israeli forces kill 20 gunmen in raid at Gaza's Al Shifa hospital, army says","March 18, 2024",Israel - Gaza,Direct
Reuters,"Destruction of Gaza's Shifa Hospital rips heart out of health system, WHO says","April 02, 2024",Israel - Gaza,No
Reuters,"Gaza ministry says 34,535 Palestinians killed in Israeli strikes since Oct. 7","April 30, 2024",Israel - Gaza,Indirect
Reuters,UN experts say famine has spread throughout Gaza,"July 09, 2024",Israel - Gaza,No
Reuters,"Israel storms Gaza City neighbourhood, orders Palestinians to go south","June 27, 2024",Israel - Gaza,Direct
Reuters,"Immense' scale of Gaza killings amount to crime against humanity, UN inquiry says","June 12, 0204",Israel - Gaza,No
Reuters,Miracle' baby born in Gaza after airstrike kills heavily pregnant mother,"July 24, 2024",Israel - Gaza,No
Reuters,Israel bombards central Gaza as tanks advance deeper in Rafah,"July 18, 2024",Israel - Gaza,Direct
Reuters,"Palestinians say Israeli strike killed 22 in shelter, army says militants hit","Sept 21, 2024",Israel - Gaza,No
Reuters,"Israeli forces kill at least 34 people in Gaza, rescue workers say","December 12, 2024",Israel - Gaza,Direct
Reuters,"41,788 Palestinians killed in Gaza offensive since Oct. 7, health ministry says","Oct 03, 2024",Israel - Gaza,No
Reuters,"Gaza women, children are nearly 70% of verified war dead, UN rights office says","Nov 19, 2024",Israel - Gaza,No
Reuters,Prosecutor general says 103 children have been killed in war in Ukraine,"March 16, 2022",Russia - Ukraine,No
Reuters,"Two people killed in Russian shelling of Ukrainian town of Nikopol, officials say","July 16, 2022",Russia - Ukraine,Direct
Reuters,Russia pounds Ukraine's east as town buries dead in mass grave,"May 25, 2022",Russia - Ukraine,Direct
Reuters,"Almost 9,000 Ukrainian military killed in war with Russia -armed forces chief","August 22, 2022",Russia - Ukraine,Direct
Reuters,"At least 816 civilians killed in Ukraine since conflict began, UN says","March 18, 2022",Russia - Ukraine,No
Reuters,"Russia's invasion of Ukraine kills 352 civilians, including 14 children","Feb 27, 2022",Russia - Ukraine,Direct
Reuters,Russian missile strikes near Ukraine's Odesa kill 21,"July 01, 2022",Russia - Ukraine,Direct
Reuters,"Indian student killed in Ukraine shelling, thousands of foreigners trapped","March 01, 2022",Russia - Ukraine,No
Reuters,"Bombing of school in Ukraine kills two, dozens more feared dead, governor says","May 08, 2022",Russia - Ukraine,No
Reuters,Multiple Russian strikes kill at least two in Ukrainian city of Sloviansk - officials,"July 05, 2022",Russia - Ukraine,Direct
Reuters,"At least 21 killed, 112 wounded in shelling of Kharkiv - Ukrainian official","April 07, 2022",Russia - Ukraine,No
